Year,region,province_city,foreign,overseas,domestic,total,is_region_total
2016,Region IV-B MIMAROPA,Magsaysay,17,0,4105,4122,0
2016,Region IV-B MIMAROPA,Mamburao,422,0,35506,35928,0
2016,Region IV-B MIMAROPA,Paluan,0,0,102,102,0
2016,Region IV-B MIMAROPA,Rizal,0,0,0,0,0
2016,Region IV-B MIMAROPA,Sablayan,3260,0,13390,16650,0
2016,Region IV-B MIMAROPA,San Jose,470,2,75534,76006,0
2016,Region IV-B MIMAROPA,Santa Cruz,0,0,2272,2272,0
2016,Region IV-B MIMAROPA,Others,0,0,0,0,0
2016,Region IV-B MIMAROPA,Oriental Mindoro,22425,137,119005,141567,0
2016,Region IV-B MIMAROPA,Baco,830,0,0,830,0
2016,Region IV-B MIMAROPA,Bansud,28,64,1069,1161,0
2016,Region IV-B MIMAROPA,Bongabong,1666,0,2403,4069,0
2016,Region IV-B MIMAROPA,Bulalacao,99,0,3715,3814,0
2016,Region IV-B MIMAROPA,Calapan City,8120,0,73754,81874,0
2016,Region IV-B MIMAROPA,Gloria,7293,0,310,7603,0
2016,Region IV-B MIMAROPA,Mansalay,89,0,2912,3001,0
