Year;Region_Code;Region_Name;Province;Location;Level_Original;Foreign_Travelers;OFW;Domestic_Travelers;Total;Level;Latitude;Longitude
2015;Region IV-B;Region IV-B MIMAROPA;Occidental Mindoro;Calintaan;City/Municipality;0;0;3402;3402;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Occidental Mindoro;Looc;City/Municipality;6;0;282;288;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Occidental Mindoro;Lubang;City/Municipality;175;0;32539;32714;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Occidental Mindoro;Mamburao;City/Municipality;321;0;15605;15926;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Occidental Mindoro;Sablayan;City/Municipality;5731;0;22343;28074;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Occidental Mindoro;San Jose;City/Municipality;0;0;95011;95011;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Occidental Mindoro;Santa Cruz;City/Municipality;0;0;495;495;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Oriental Mindoro;Oriental Mindoro;Province;29787;78;128835;158700;Province;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Oriental Mindoro;Baco;City/Municipality;22;0;550;572;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Oriental Mindoro;Bansud;City/Municipality;0;28;3406;3434;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Oriental Mindoro;Bongabong;City/Municipality;0;50;1851;1901;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Oriental Mindoro;Bulalacao;City/Municipality;399;0;1817;2216;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Oriental Mindoro;Calapan City;City/Municipality;6042;0;73821;79863;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Oriental Mindoro;Gloria;City/Municipality;0;0;2413;2413;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Oriental Mindoro;Mansalay;City/Municipality;138;0;1639;1777;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Oriental Mindoro;Naujan;City/Municipality;0;0;8734;8734;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Oriental Mindoro;Pinamalayan;City/Municipality;1033;0;3830;4863;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Oriental Mindoro;Puerto Galera;City/Municipality;21966;0;18855;40821;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Oriental Mindoro;Roxas;City/Municipality;167;0;6566;6733;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Oriental Mindoro;San Teodoro;City/Municipality;20;0;377;397;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Oriental Mindoro;Victoria;City/Municipality;0;0;4976;4976;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Palawan;Palawan;Province;97859;0;108989;206848;Province;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Palawan;Brookes Point;City/Municipality;249;0;14504;14753;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Palawan;Coron;City/Municipality;22855;0;35151;58006;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Palawan;Culion;City/Municipality;818;0;1843;2661;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Palawan;Cuyo;City/Municipality;191;0;223;414;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Palawan;El Nido;City/Municipality;57130;0;49366;106496;City/Municipality;10,7202;121,0794
2015;Region IV-B;Region IV-B MIMAROPA;Palawan;Linapacan;City/Municipality;0;0;63;63;City/Municipality;10,7202;121,0794
